ID_Venta,ID_Cliente,ID_Producto,Fecha,Cantidad,Total
82,32,41,2024-06-07,1,299.50
83,49,23,2024-06-09,1,8999.00
84,27,10,2024-06-11,1,5599.99
85,10,32,2024-06-13,1,14999.00
86,38,25,2024-06-15,1,1299.50
87,21,6,2024-06-17,1,3499.00
88,4,53,2024-06-19,3,897.00
89,46,18,2024-06-21,1,459.50
90,30,47,2024-06-23,1,399.50
91,13,3,2024-06-25,1,6599.00
92,40,14,2024-06-27,1,899.00
93,25,57,2024-06-29,12,474.00
94,1,22,2024-07-01,1,2199.50
95,43,35,2024-07-03,1,4599.50
96,36,20,2024-07-05,5,747.50
97,20,4,2024-07-07,1,1299.99
98,34,28,2024-07-09,1,2399.50
99,17,16,2024-07-11,1,649.50
100,24,55,2024-07-13,2,318.00
101,15,39,2024-07-15,1,3599.50
102,8,54,2024-07-17,2,179.00
103,22,60,2024-07-19,8,284.00
104,37,7,2024-07-21,1,1899.50
105,3,46,2024-07-23,1,599.00
106,29,12,2024-07-25,1,799.50
107,41,58,2024-07-27,6,534.00
108,12,31,2024-07-29,1,8999.50
109,5,26,2024-07-31,1,699.99
110,18,51,2024-08-02,3,568.50
111,33,8,2024-08-04,1,899.99
112,47,43,2024-08-06,1,1299.00
113,9,2,2024-08-08,1,8999.50
114,26,48,2024-08-10,1,1299.00
115,44,5,2024-08-12,1,2499.75
116,31,17,2024-08-14,4,1196.00
117,2,36,2024-08-16,1,2899.00
118,39,11,2024-08-18,1,1299.00
119,16,24,2024-08-20,1,1799.00
120,48,33,2024-08-22,1,7999.99
121,23,9,2024-08-24,1,2799.00
122,7,52,2024-08-26,10,459.90
123,35,38,2024-08-28,1,12999.00
124,50,13,2024-08-30,1,599.99
125,14,21,2024-09-01,1,899.00
126,42,44,2024-09-03,1,899.50
127,28,19,2024-09-05,3,599.97
128,11,30,2024-09-07,1,12999.00
129,45,1,2024-09-09,1,18999.99
130,6,40,2024-09-11,1,8999.00
131,19,27,2024-09-13,1,1599.00
132,32,56,2024-09-15,2,918.00
133,49,14,2024-09-17,1,899.00
134,27,59,2024-09-19,24,600.00
135,10,42,2024-09-21,1,459.00
136,38,3,2024-09-23,1,6599.00
137,21,49,2024-09-25,1,1899.50
138,4,25,2024-09-27,1,1299.50
139,46,34,2024-09-29,1,1399.00
140,30,6,2024-10-01,1,3499.00
141,13,50,2024-10-03,1,799.00
142,40,15,2024-10-05,1,4599.00
143,25,29,2024-10-07,1,899.00
144,1,41,2024-10-09,1,299.50
145,43,23,2024-10-11,1,8999.00
146,36,10,2024-10-13,1,5599.99
147,20,32,2024-10-15,1,14999.00
148,34,45,2024-10-17,2,399.98
149,17,53,2024-10-19,1,299.00
150,24,7,2024-10-21,1,1899.50
