team_name,Liga,Temporada,xG,xAG,PrgC_Conducciones_Progresivas,PrgP_Pases_Progresivos,Save_Porcentaje,CS_Porcentaje,Total_Cmp_Porcentaje,Total_Pases_Completados,Total_Pases_Intentados,Total_Distancia_Pases
Sassuolo,ITA-Serie A,2022,35,28.1,71.3,1342,67.5,15.8,76.1,12606,16575,231539
Spezia Calcio,ITA-Serie A,2022,38.3,30.1,75.8,1292,78.3,47.4,80.9,14805,18306,269825
Torino,ITA-Serie A,2022,38.3,30.1,75.8,1292,78.3,47.4,75.1,12399,16501,215537
Udinese,ITA-Serie A,2022,33.1,27.2,72.8,1279,71.2,31.6,79.5,15376,19336,275969
Hellas Verona,ITA-Serie A,2022,32.1,26.8,66.2,1099,70.2,15.8,79.8,13391,16790,246847
Atalanta,ITA-Serie A,2021,61.2,47.9,93.3,1655,71.3,28.9,80.5,17108,21261,290891
Bologna,ITA-Serie A,2021,48,36.6,79.5,1340,70.8,21.1,79.1,14442,18249,246735
Cagliari,ITA-Serie A,2021,39.4,31.3,69.1,1095,68.3,10.5,73,11503,15761,220202
FC Empoli,ITA-Serie A,2021,47.4,38.3,77,1290,66.8,15.8,76.6,12796,16700,227799
Fiorentina,ITA-Serie A,2021,55.4,44.1,98.4,1668,71.9,36.8,83.3,17418,20910,337614
Genoa,ITA-Serie A,2021,34,28.7,67.9,1061,69.2,18.4,71.8,11185,15587,198763
Inter,ITA-Serie A,2021,74,59.8,104.9,1794,69.9,36.8,75,13047,17398,226861
Juventus,ITA-Serie A,2021,55,44.9,96.6,1686,75.3,42.1,84.1,18367,21832,329949
Lazio,ITA-Serie A,2021,58.7,45.4,90.7,1500,69,28.9,83,16459,19835,307159
AC Milan,ITA-Serie A,2021,51.5,40.5,91.3,1629,78.5,42.1,85.2,19632,23041,320293
Napoli,ITA-Serie A,2021,63.4,48,97,1642,76.5,50,81.4,15719,19320,283818
Roma,ITA-Serie A,2021,56.5,44.6,89.4,1599,73.1,31.6,85.4,19572,22921,313472
Salernitana,ITA-Serie A,2021,36.8,28.5,52.1,1079,67.8,15.8,80.8,15221,18828,286185
Sampdoria,ITA-Serie A,2021,40.8,32.6,68.3,1289,66.7,18.4,73.9,10680,14461,195791
Sassuolo,ITA-Serie A,2021,55.7,44.4,88,1488,69.7,26.3,75.8,12901,17022,235384
Spezia Calcio,ITA-Serie A,2021,38.3,30.1,75.8,1292,78.3,47.4,83.8,17027,20327,290090
Torino,ITA-Serie A,2021,38.3,30.1,75.8,1292,78.3,47.4,75.1,11650,15503,210448
Udinese,ITA-Serie A,2021,43.1,35.5,77.4,1409,72.9,26.3,77.1,13943,18082,249442
Venezia,ITA-Serie A,2021,35,28.1,71.3,1342,67.5,15.8,76.4,11650,15251,201058
Hellas Verona,ITA-Serie A,2021,57,44.5,90.1,1489,73.1,34.2,75.6,11575,15320,214514
Atalanta,ITA-Serie A,2020,74,56.4,91.1,1658,69.3,26.3,81.9,18066,22063,310229
Benevento,ITA-Serie A,2020,37.9,29.3,68.3,1140,74.4,23.7,75.6,11573,15318,210156
Bologna,ITA-Serie A,2020,48,36.6,79.5,1340,70.8,21.1,79.2,14683,18539,256726
Cagliari,ITA-Serie A,2020,39.4,31.3,69.1,1095,68.3,10.5,77.3,13040,16868,235882
Crotone,ITA-Serie A,2020,38.3,30.1,75.8,1292,67.5,13.2,78.5,13532,17229,245442
Fiorentina,ITA-Serie A,2020,47.7,36.3,83.1,1459,70,28.9,78.4,13430,17136,246275
Genoa,ITA-Serie A,2020,34,28.7,67.9,1061,69.2,18.4,77.7,13950,17947,246168
Inter,ITA-Serie A,2020,74,59.8,104.9,1794,69.9,36.8,74.2,12926,17419,232123
Juventus,ITA-Serie A,2020,55,44.9,96.6,1686,75.3,42.1,85,18384,21624,321565
Lazio,ITA-Serie A,2020,58.7,45.4,90.7,1500,69,28.9,86.1,19839,23031,353120
AC Milan,ITA-Serie A,2020,51.5,40.5,91.3,1629,78.5,42.1,81.6,16972,20795,304863
Napoli,ITA-Serie A,2020,63.4,48,97,1642,76.5,50,81.7,15889,19459,275188
Parma,ITA-Serie A,2020,35,28.1,71.3,1342,67.5,15.8,85.1,18892,22210,319926
Roma,ITA-Serie A,2020,56.5,44.6,89.4,1599,73.1,31.6,80.5,14837,18427,288732
Sampdoria,ITA-Serie A,2020,40.8,32.6,68.3,1289,66.7,18.4,82.9,16561,19977,303327
Sassuolo,ITA-Serie A,2020,55.7,44.4,88,1488,69.7,26.3,76.1,13423,17643,241858
Spezia Calcio,ITA-Serie A,2020,38.3,30.1,75.8,1292,78.3,47.4,86.1,20368,23660,329660
Torino,ITA-Serie A,2020,38.3,30.1,75.8,1292,78.3,47.4,79.5,15565,19567,303384
Udinese,ITA-Serie A,2020,43.1,35.5,77.4,1409,72.9,26.3,77.9,13369,17163,240588
Hellas Verona,ITA-Serie A,2020,57,44.5,90.1,1489,73.1,34.2,79.9,13917,17414,242519
