team_name,Liga,Temporada,xG,xAG,PrgC_Conducciones_Progresivas,PrgP_Pases_Progresivos,Save_Porcentaje,CS_Porcentaje,Total_Cmp_Porcentaje,Total_Pases_Completados,Total_Pases_Intentados,Total_Distancia_Pases
Newcastle,Premier League,2024,63.8,46,759,1595,71.4,34.2,81.6,15416,18898,260464
Norwich,Premier League,2024,0,0,0,0,0,0,0,0,0,0
Nott'm Forest,Premier League,2024,45.5,33,633,1125,73.9,34.2,75.3,10822,14366,185832
Sheff Utd,Premier League,2024,0,0,0,0,0,0,0,0,0,0
Southampton,Premier League,2024,32.7,24.8,640,1127,67.8,7.9,83.7,15530,18561,263566
Sunderland,Premier League,2024,0,0,0,0,0,0,0,0,0,0
Tottenham,Premier League,2024,58.8,44.4,840,1593,65.6,15.8,82.7,16513,19960,275248
Watford,Premier League,2024,0,0,0,0,0,0,0,0,0,0
West Brom,Premier League,2024,0,0,0,0,0,0,0,0,0,0
West Ham,Premier League,2024,47,33.9,632,1222,68.3,18.4,80.7,14820,18363,258653
Wolves,Premier League,2024,43.7,35.4,607,1185,63.1,21.1,80.9,14472,17884,246100
Arsenal,Premier League,2025,20.7,13.1,236,523,73.9,58.3,82.8,5344,6457,93343
Aston Villa,Premier League,2025,10.7,8.5,167,434,73,33.3,82,4677,5705,82817
Bournemouth,Premier League,2025,17.1,9.8,226,463,65.5,33.3,78.5,4581,5834,79533
Brentford,Premier League,2025,18.3,10.3,152,301,59.1,16.7,74.8,3520,4706,65377
Brighton,Premier League,2025,17.8,12.1,224,417,66.7,16.7,81.2,4665,5744,81630
Burnley,Premier League,2025,8.6,6.7,109,280,69.6,16.7,75.6,3529,4665,60928
Chelsea,Premier League,2025,22.1,17.7,248,495,64.5,50,84.4,5810,6886,99380
Crystal Palace,Premier League,2025,20.2,13.4,149,380,77.1,50,75.4,3636,4825,66840
Everton,Premier League,2025,15,11.4,176,379,75,33.3,76.2,3799,4987,69823
Fulham,Premier League,2025,12.8,9.7,240,432,72,25,80.6,4693,5821,83625
Leeds,Premier League,2025,14.3,9.8,183,381,57.4,16.7,80.1,4500,5621,80269
Liverpool,Premier League,2025,19.6,15.4,293,635,62,25,83.2,5757,6919,98935
Man City,Premier League,2025,21.8,18.6,320,479,76.3,41.7,86.3,6069,7033,94317
Man Utd,Premier League,2025,19.9,13.5,224,490,58.7,8.3,79.2,4703,5937,81878
Newcastle,Premier League,2025,15.1,11.7,193,538,74.1,41.7,78.6,4433,5640,79105
Nott'm Forest,Premier League,2025,15.1,10.9,202,510,71.7,8.3,80.2,4711,5877,82162
Sunderland,Premier League,2025,10.4,7,150,354,79.2,33.3,76.9,3836,4990,68902
Tottenham,Premier League,2025,11.1,8.6,210,412,73.1,33.3,80,4547,5686,83034
West Ham,Premier League,2025,13,7.5,130,355,65.2,8.3,77.9,3941,5057,67660
Wolves,Premier League,2025,11.4,6.9,170,362,51.8,0,78.3,4245,5423,81075
